Person ID,Region,Residence Type,Family Composition,Population Base,Sex,Age,Marital Status,Student,Country of Birth,Health,Ethnic Group,Religion,Economic Activity,Occupation,Industry,Hours worked per week,Approximated Social Grade
7394816,E12000001,H,2,1,2,6,2,2,1,2,1,2,5,8,2,-9,4
7394745,E12000001,H,5,1,1,4,1,2,1,1,1,2,1,8,6,4,3
7395066,E12000001,H,3,1,2,4,1,2,1,1,1,1,1,6,11,3,4
7395329,E12000001,H,3,1,2,2,1,2,1,2,1,2,1,7,7,3,2
7394712,E12000001,H,3,1,1,5,4,2,1,1,1,2,1,1,4,3,2
7394750,E12000001,H,2,1,1,6,2,2,1,2,1,1,1,9,2,3,3
7394871,E12000001,H,5,1,2,4,3,2,1,2,1,1,1,6,11,2,3
7394832,E12000001,H,3,1,2,1,1,2,1,2,1,1,-9,-9,-9,-9,-9
7394719,E12000001,H,2,1,1,7,2,2,1,1,1,2,5,8,2,-9,2
7394840,E12000001,H,1,1,2,6,4,2,1,3,1,2,5,9,5,-9,4
